,created_at,username,tweet,language,replies_count,retweets_count,likes_count
125,2021-08-05 21:43:22 India Standard Time,shapeofdindigul,August 5 #Dindigul - #COVID19 updates #shapeofdindigul @shapeofdindigul  New cases- 14 Discharged- 14 Active - 140 Deaths - 0 Total Covid deaths- 625 #StayHomeStaySafe,en,0,1,2
141,2021-08-07 04:37:15 India Standard Time,elnanolanina,"Watching my Scottish friend's IG stories, theyre partying like normal as if covid never exists there. Super envy",en,0,0,1
163,2021-08-07 01:11:09 India Standard Time,cmarakeshsingh,India Crosses Historic Milestone by administering more than 50 crore doses of Covid #vaccine .,en,1,0,19
179,2021-08-07 00:10:58 India Standard Time,mrgalib,They say COVID norms have been relaxed in Kerala  Before: 100% population could go out to buy bread 3 days a week After : 42% vaccinated population can go out to buy bread 6 days a week. 58% non-vaccinated population can go out to buy bread 0 days a week.  #keralalockdown #joke,en,0,0,0
193,2021-08-06 23:21:47 India Standard Time,deepakshanmu,@CMofKarnataka @PMOIndia @MoHFW_INDIA @DHFWKA why don't the newly elected minister follow Covid appreciate behaviour. All the minister are going to thier constituency and forming. If gatherings. The mistake was done during 2nd wave in the name of elections.,en,1,0,0
198,2021-08-06 23:08:56 India Standard Time,dave60hardik,"Sir with many people without masks in the Old City, children senior citizens are wary of a surge in #COVIDー19case. Don't be Educate Full.. Plz wear Mask and Stay Safe #MaskUpIndia Up India 🇮🇳 @CPHydCity @TelanganaHealth @TelanganaCOPs @hydcitypolice  #covid_19thirdwave  https://t.co/ZCyRYFIat5",en,0,2,2
200,2021-08-06 22:57:06 India Standard Time,dasbhabagrahi,"@UberINSupport Hi, From past one year every driver  whether it's OLa or Uber denies for switching on the AC . I thought thr may be govt guidelines for covid but I checked with guidelines but no such type of notice .",en,1,0,0
209,2021-08-06 22:34:12 India Standard Time,thashns,@Asad_Umar Question:  Will this US$500 million be added to the amount already set in this budget 2021-2022 (i.e. US$ 1 billion) for procurement of COVID-19 vaccine  CC: @arslankhalid_m @ImranGhazaliPK,en,0,0,0
215,2021-08-06 22:21:46 India Standard Time,sreenivasan_dr,India crossed 50 crore covid vaccination ---Thanks PM modiji 🙏🙏  https://t.co/fWftJ3OxkY,en,1,5,21
217,2021-08-06 22:19:12 India Standard Time,nishitshawhere,@narendramodi Massive exports even in Covid era. Proud of my country....Jai Hind,en,0,0,0
221,2021-08-06 22:08:44 India Standard Time,vikramdhm,"By denying oxygen related deaths, the Modi govt isn't just insulting the grieving families but also the covid warriors who begged &amp; pleaded for oxygen to save their patients.   It is shameful, disgraceful &amp; sinful.  https://t.co/mfdBfpMgyy",en,0,0,0
226,2021-08-06 21:59:10 India Standard Time,mynight6_,That's what soju is for I guess... Helping to ease a man to sleep...   #alone #empty #covid #soju  #lockdownextension #행복하자  https://t.co/jgzb3H5RVd,en,0,0,0
227,2021-08-06 21:59:01 India Standard Time,debeshagarwal4,Honourable CM shri Naveen Patnaik sir. I am Thanksgiving for us receiving Covid vaccine it so quickly for odisha people giving vaccination. When we are  fight for Covid-19 only things is there vaccine then it possible only by CM.🙏🙏 @Naveen_Odisha  @bjd_odisha @saradabhaibjd,en,0,0,0
228,2021-08-06 21:55:26 India Standard Time,drmurukadas,06.08.2021 In India #Covid_19 cases in the last24hrs has seen slight rise to44643 compared to  42982y'day. Total cases in India-31884819;recovery- 31015844(97.36p%);fatalities- 426754(1.34%)&amp; active cases- 414159(1.29%).With22040 #Kerala still has about50% of India's total cases,en,0,0,1
230,2021-08-06 21:53:14 India Standard Time,annapurinagaiah,29-7-2021 .covid-19.2,en,0,1,1
236,2021-08-06 21:46:00 India Standard Time,rameshvargehlo1,"The army Because of our lack of recruitment Due to our lack of recruitment, we cannot join the army, due to covid-19, our age has passed, due to non-recruitment in 2020  https://t.co/IAvksW7o9M",en,0,0,1
237,2021-08-06 21:45:57 India Standard Time,rameshvargehlo1,"@RahulGandhi Dueto covid-19 in MadhyaPradesh Bhopal aro Indian  army recruitment did not come, which qualified student jawan will not be able to join the army due to old age in Indian army meu cm from Rahul Gandhi  sir  I want to tell sir that age relaxation should be given in  https://t.co/T9tYOmEKN4",en,1,1,2
242,2021-08-06 21:38:30 India Standard Time,dilipda60259821,#SabkoVaccineMuftVaccine  India’s fight against COVID-19 receives a strong impetus as vaccination numbers cross the 50 crore mark: PM  https://t.co/kZfuQjwYls via NaMo App  https://t.co/KevMSNBZR6,en,0,0,3
249,2021-08-06 21:21:30 India Standard Time,jmoz09,@SokoAnalyst Covid 19 super spreaders,en,0,0,0
250,2021-08-06 21:20:49 India Standard Time,rameshvargehlo1,"In the army Due to our age, we cannot fill the form in the army, due to covid-19, we cannot go to the army.please give exemption in army thanks",en,1,0,2
251,2021-08-06 21:20:48 India Standard Time,rameshvargehlo1,"@ChouhanShivraj Dueto covid-19 in MadhyaPradesh Bhopal aro Indian  army recruitment did not come, which qualified student jawan will not be able to join the army due to old age in Indian army meu cm from shri shivrajchauhan I want to tell sir that age relaxation should be given",en,1,2,2
262,2021-08-06 21:09:58 India Standard Time,swaroopdavidb1,@CMofKarnataka @BSBommai Our politicians cant follow basic COVID protocol. In the oath taking not ine followed the rules and ur putting curfew for.normal ppl. Increase vaccination how hypocritical government,en,0,0,0
266,2021-08-06 21:07:02 India Standard Time,katariaanilkumr,@airindiain  was flying  SI 619 today no Covid protocol followed on flight announcements was not to crowd in  aile  and then announced that water bottles to be picked up from rear and everyone rushes,en,0,0,0
284,2021-08-06 20:40:42 India Standard Time,dipeshv28135444,Honoured to meet PM Shri Narendra Modi ji and receive his words of wisdom and guidance.   Presented him the booklet about the work done in NE Mumbai constituency during covid times.   One always gets rejuvenated to work even harder after meeting him.  *Manoj Kotak MP*  https://t.co/y508FLCr2V,en,0,0,4
