,tweet,clean_tweet,hastags,attherate,urls,emojis,label
183,#Maldives imposes 21:00-04:00 curfew in capital  #StaySafe #SocialDistancing #WashYourHands,impos curfew capit ,"['#Maldives', '#StaySafe', '#SocialDistancing', '#WashYourHands']",[],[],[],2
185,@nilepostnews So sad indeed. How does curfew stop spread of covid 19,sad curfew stop spread covid ,[],['@nilepostnews'],[],[],2
187,The first order of not to gather more than 5 people enacted along with the Curfew of 10-4 am in Dagon Myothit &amp; the roads near ward offices were blocked as well. Previous curfew was from 8-4 am. #May5Coup #CivilDisobedienceMovement #WhatsHappeningInMyanmar,order gather peopl enact curfew dagon myothit road near ward offic block previou curfew ,"['#May5Coup', '#CivilDisobedienceMovement', '#WhatsHappeningInMyanmar']",[],[],[],2
188,@lalit_12 Called Corona Curfew only  Sir,call corona curfew ,[],['@lalit_12'],[],[],2
189,@HPA_MV Thank you...sadly our own government is taking it so lightly. Since the current is situation is so bad there is no point of having  curfew from 1200am till 04am. Instead need to advance the curfew from 2200pm till 04am,yousadli govern lightli current situat bad point curfew till instead advanc curfew till ,[],['@HPA_MV'],[],[],2
191,@kumar_maikhuri @News18_UK 10th may ko curfew hat sakta h tb tk continue h.,curfew hat sakta continu ,[],"['@kumar_maikhuri', '@News18_UK']",[],[],2
198,"Both, state n center governments of India have failed to control COVID19 pandemic.  Corona situation could have been handled without imposing lockdown or curfew by not blaming ppl.  #COVID19",state center govern india fail control covid pandem corona situat handl impos lockdown curfew blame ppl ,['#COVID19'],[],[],[],2
200,Mumbai model is successful. One of the key decision was lockdown to break the chain. #Surat and #Ahmedabad could not do. In the name of Janta curfew it was left on people.  @CommissionerSMC @CollectorAhd @CMOGuj @AmdavadAMC @MySuratMySMC,mumbai model success key decis lockdown break chain janta curfew left peopl ,"['#Surat', '#Ahmedabad']","['@CommissionerSMC', '@CollectorAhd', '@CMOGuj', '@AmdavadAMC', '@MySuratMySMC']",[],[],2
201,@DGPPunjabPolice  @VarinderIAS  Respected sir . I own a liquor vend in district kapurthala and I have to travel from district Ludhiana to the fore mentioned district everyday... Please be kind enough to acknowledge the kind of pass I require to travel during the curfew to return.,respect liquor vend district kapurthala travel district ludhiana fore mention district everyday kind acknowledg kind requir travel curfew return ,[],"['@DGPPunjabPolice', '@VarinderIAS']",[],[],2
202,@The_RealBan 13 people and one photographer ... That's the line outside Sweet Bengal during Curfew ...,peopl photograph that outsid sweet bengal curfew ,[],['@The_RealBan'],[],[],2
203,"Covid Containment measures: Corona Curfew extended in all districts of J&amp;K by 7 days till 7 am on Monday, 17th May  Curfew to be strict except for a few essential services  Gathering permissible for marriages reduced to 25 only  @diprjk @OfficeOfLGJandK @rimco2055  https://t.co/PEXRBpcUb7",covid contain measur corona curfew extend district jampk day till monday curfew strict essenti servic gather permiss marriag reduc ,[],"['@diprjk', '@OfficeOfLGJandK', '@rimco2055']",['https://t.co/PEXRBpcUb7'],[],2
205,"Corona Curfew imposed in all 20 districts of J&amp;K till 7 am on Monday, 10/5/21 is extended further by 7 days till 7 am on Monday, 17/5/21. The curfew will be strict except for a few essential services.",corona curfew impos district jampk till monday extend day till monday curfew strict essenti servic ,[],[],[],[],2
