,tweet,clean_tweet,hastags,attherate,urls,emojis,label
2079,. @PMOIndia @HMOIndia State &amp; district authorities should be adviced to roll back the #NightCurfew . It only leads to more crowding during the hours that things are kept open.  Night Curfew is unscientific &amp; unnecessary. Space things out! In fact things should now be open 24x7.,state district author advic roll lead crowd hour thing kept open night curfew unscientif unnecessari space thing fact thing open ,['#NightCurfew'],"['@PMOIndia', '@HMOIndia']",[],[],2
2080,"@duttabhishek @PMOIndia @CMODelhi @ArvindKejriwal , @msisodia &amp; @SatyendarJain should roll back the #NightCurfew . It only leads to more crowding during the hours that things are kept open. If they don't do it, the @LtGovDelhi should override. Night Curfew is unscientific &amp; unnecessary. Space things out!",roll lead crowd hour thing kept open dont overrid night curfew unscientif unnecessari space thing ,['#NightCurfew'],"['@duttabhishek', '@PMOIndia', '@CMODelhi', '@ArvindKejriwal', '@msisodia', '@SatyendarJain', '@LtGovDelhi']",[],[],2
2081,"@ourvadodara The night curfew is very poor. Only shops are closed. Moving of 2 wheelers, 4 wheelers are moving in Ellorapark and Subhanpura roads. Public should realise the situation and keep them controlled. Should not expect Police department.",night curfew poor shop close move wheeler wheeler move ellorapark subhanpura road public realis situat control expect polic depart ,[],['@ourvadodara'],[],[],2
2082,"@narendramodi @drharshvardhan @CMofKarnataka @mla_sudhakar Modi Sir, I have given you some suggestions in area of markets, Public transport, bar, restaurant, gym .. vide my suggestion to you PMOPG/E/2021/0247243. Please go through it works without any curfew &amp; will be effective  https://t.co/Z4e2VjdiPj",modi give suggest area market public transport bar restaur gym vide suggest pmopg work curfew effect ,[],"['@narendramodi', '@drharshvardhan', '@CMofKarnataka', '@mla_sudhakar']",['https://t.co/Z4e2VjdiPj'],[],2
2083,@erambari First and foremost night curfew should be revoked because it is not making any sense and then the health ministry should learn from other affected countries.,foremost night curfew revok sens health ministri learn affect countri ,[],['@erambari'],[],[],2
2084,"@ashokgehlot51 Night curfew is not a solution, it's also a virus for people.",night curfew solut viru peopl ,[],['@ashokgehlot51'],[],[],2
2085,"@NitishKumar Night curfew is not a solution, it's also a virus for people.",night curfew solut viru peopl ,[],['@NitishKumar'],[],[],2
2086,"@ashokgehlot51 Night curfew is not a solution, it's also a virus for people.",night curfew solut viru peopl ,[],['@ashokgehlot51'],[],[],2
2087,"@ashokgehlot51 Night curfew is not a solution, it's also a virus for people.",night curfew solut viru peopl ,[],['@ashokgehlot51'],[],[],2
2089,@CPDelhi @LtGovDelhi @DMNewDelhi Their is no communication gap between local police&amp; administration.For Home delivery of food why police is creating problems? It is exempted from night curfew.@DelhiPolice These certain young DCPs to be briefed.,commun gap local policeamp administrationfor home deliveri food polic creat problem exempt night curfew certain young dcp brief ,[],"['@CPDelhi', '@LtGovDelhi', '@DMNewDelhi']",[],[],2
2090,Brilliant move by the Karnataka Government of imposing a curfew from 10PM to 5AM. I’ll keep my shop closed between the mentioned time. #KarnatakaFightsCorona,brilliant karnataka govern impos curfew ill shop close mention time ,['#KarnatakaFightsCorona'],[],[],[],2
2091,"@FinMinIndia @nsitharamanoffc @Anurag_Office @PIB_India @DDNewslive @airnewsalerts Sad, @FinMinIndia forgot it's KRAs. Can they come up with solutions on how to perform compliance by a tax payer during lockdown and night curfew restrictions? @nsitharaman @nsitharamanoffc @Anurag_Office @ianuragthakur",sad forgot kra solut perform complianc tax payer lockdown night curfew restrict ,[],"['@FinMinIndia', '@nsitharamanoffc', '@Anurag_Office', '@PIB_India', '@DDNewslive', '@airnewsalerts', '@FinMinIndia', '@nsitharaman', '@nsitharamanoffc', '@Anurag_Office', '@ianuragthakur']",[],[],2
