,username,created_at,replies_count,retweets_count,likes_count,tweet,language
34,amitchadchankar,2021-06-08 01:49:04 India Standard Time,0.0,0.0,0,"Hello everyone  It gives me immense pleasure to inform you that with blessings of God Veerabhadra and my family, I got married on 31st of May 2021 Due to pandemic of covid-19 we were not able to invite our near and dear ones like you. I hope your good wishes always stay with me☺️  https://t.co/koburfgfUP",en
36,wriddhaayan,2021-06-08 01:41:08 India Standard Time,0.0,0.0,0,What he means is get vaccinated by June 21.  #COVID19 #VaccineForAll,en
43,aghamuneer2,2021-06-14 02:39:02 India Standard Time,0.0,0.0,2,Thank you volunteers for making sure stays safe from #Covid_19 @AbrarUlHaqPK @PRC_official @IFRCAsiaPacific @ifrc @ICRC @ICRC_AsiaPac @Kashif_Khuhro  https://t.co/NUZKPuFy99,en
46,rana_sarvottam,2021-06-14 01:21:29 India Standard Time,0.0,0.0,3,"Wife of Flying Sikh Milkha Singh, Nirmal Milkha Singh lost battle to Covid-19 . #covidtakinglifes",en
47,khanalijaved,2021-06-14 01:04:59 India Standard Time,2.0,1.0,10,"Yet again in the wake of the COVID-19 pandemic, NCOC has not allowed the provincial govt of KPK to schedule Shandur polo festival 2021. District administration of Upper Chitral has backed up with the already commenced preparations. #shandurpolo #shandurchitral",en
48,wkagyina,2021-06-14 00:44:28 India Standard Time,1.0,0.0,2,@Rugusuki @AshilyJashily So a you saying that there's no covid19 in Rwanda Rugambanengwe or your perfect in fighting it nothing actually you have done people are dying seriously like other countries so don't hoodwinking people here,en
50,blessonmanos,2021-06-14 00:08:01 India Standard Time,0.0,0.0,0,Thanks to #DettolIndia for the appreciation to our service to the society in this pandemic  #DettolSalutes #Covid_19 #FeedNellai  https://t.co/ZuyAVvhR5V,en
52,eijimurakoso,2021-06-13 23:42:06 India Standard Time,0.0,1.0,2,Malaysia developing own Covid-19 vaccines | New Straits Times  https://t.co/FksAW9NadL,en
54,justfighttogeti,2021-06-13 23:40:18 India Standard Time,0.0,0.0,0,Fuck you !!!!?💀  #Covid_19  https://t.co/O3TnSfDKUP,en
55,drmurukadas,2021-06-13 23:35:04 India Standard Time,0.0,0.0,0,"13.06.2021 In India #Covid_19 +ve cases surged fastly during 2nd wave to 414554.Then stared falling;in last 24hrs rise in fresh cases is 80834,lower than y' day(84332).Total cases so far is 29505835; recovery-28043446(95.26%); fatalities-370384(1.26%)&amp; active-1026159 (3.49%)",en
68,vietnewsgateway,2021-06-22 05:27:27 India Standard Time,1.0,4.0,12,Ho Chi Minh City supermarkets boost inventories as #COVID19 measures intensified  https://t.co/JZjgto3y7F,en
69,kamarulbahrin,2021-06-22 05:18:45 India Standard Time,1.0,2.0,2,Beta variant alert in South Thailand #COVID19,en
