,created_at,username,tweet,language,replies_count,retweets_count,likes_count
245,2021-03-14 22:50:06 India Standard Time,adnarim_mahsih,#Gila song deserves to win #AJL35   The mental challenges that majority went through throughout the Covid19 pandemic is real. The lyrics are deep:  Crazy locked up for too long My mind is not open My sense of misery bears my loneliness in the world,en,1,0,2
249,2021-03-14 22:31:30 India Standard Time,hameda455,"Done ✅. (@ COVID-19 Vaccination Center in Al Qatif, Ash Sharqiyah)  https://t.co/T5UNyc5QR8",en,1,0,1
251,2021-03-14 22:21:04 India Standard Time,sipgrab,French labour minister tests positive for COVID-19  https://t.co/GwCS5ZVjvG #Sipgrab #UnitingPeopleWithThePossibilities,en,0,0,0
253,2021-03-14 22:09:54 India Standard Time,svmurthy,"@tweettokarishma @Arogyasetu Just enter any nearby PHC by 11am (around), that's it. Even no need for prior appointment either in PHCs or in Pvt hospitals. #COVID19 #India #Telangana",en,0,1,0
254,2021-03-14 22:09:36 India Standard Time,maansaab1990,"I have just witnessed that Narendra Modi Stadium, Ahmedabad is a magical place where COVID-19 automatically disappears and there is no need for social distancing and wearing masks. Where in rest of india if we are driving alone on two wheelers we are vulnerable to COVID-19.",en,1,0,4
256,2021-03-14 21:55:24 India Standard Time,realsufii,Leader of the Awami National Party (ANP) Asfandiyar Wali Khan tested positive for COVID-19.,en,0,0,0
257,2021-03-14 21:51:51 India Standard Time,af2311,"@mahobili @Asad_Umar Asad Umar, #PTI want praise from the world that how well they have coped with #COVID19  They’ll never close regular business. Human lives doesnt matter much in politics but COVID numbers do...",en,0,0,2
261,2021-03-14 21:16:04 India Standard Time,chen1036108861,"Could #Biden reassert America's position on the global stage by ways of confronting #China ? Seriously doubt it. Keep on your own business, sir! You have nearly 30 million confirmed #covid-19 cases,save your energy and time to help your people.",en,0,0,0
262,2021-03-14 21:15:43 India Standard Time,krishnakacker,Is there any correlation between formation of clots and vaccination of AstraZeneca sold in  India as Cowshield? COVID19,en,1,0,0
263,2021-03-14 21:07:19 India Standard Time,aneelsaeed,Islamabad Taste Concert has been closed due to sheer COVID-19 SOPs violations... #dcislamabad  #ictadministration #Covid_19,en,2,0,9
