,created_at,username,tweet,language,replies_count,retweets_count,likes_count
99,2021-07-10 04:46:16 India Standard Time,commscraig,"@candicespag @samanthamaiden @ACurrentAffair9 You’ve an app for covid. You have to show it on entry to all offices, shops, bars, restaurants, etc. The app shows quarantining status, vax status, and monitors your proximity to others. If someone had covid &amp; you were close by, you get alerted to test  BTW bars are proper bars🍻",en,1,0,1
112,2021-07-10 02:05:26 India Standard Time,nagireddymural2,Me and my wife are traveling from sec to vijayawada by train .in this train is durty and wash rooms smell spread entire S2 box. no cleaning we are getting vomitings all passengers are very suffer I request to IRCTC please make the clean in this covid situation.train no is 02710  https://t.co/m1U1b1u402,en,1,0,0
115,2021-07-10 01:49:40 India Standard Time,aapkavdhesh,@ArvindKejriwal Govt starts providing financial assistance to those who lost their loved ones to covid Link to apply:  https://t.co/sLqmsGqhXp #KejriwalCares @msisodia @RamNiwasGoelAap @ipathak25 @AtishiAAP  https://t.co/RumLW7NPW6,en,1,0,0
126,2021-07-10 00:59:45 India Standard Time,sumantkumar2019,"Role of Railway Schools, clubs, stadiums, golf clubs are to be reviewed/ redefined. Railway Medical procurements need a close review, especially during COVID period. Substandard stock medicines are being supplied to Railway beneficiaries. There is no watch dog system prevailing.",en,0,0,0
130,2021-07-12 05:16:06 India Standard Time,nrjwznl,"Tiber teringat kat sorang pakcik ni. Staff bank. Frequent passengers, bertongkat. Last MCO he still boarding. This time around tak nampak langsung. Either company lay off/ caught covid/ WFH. Last time I always thought kenapa pakcik ni dah bertongkat bagai company tak bagi WFH",en,1,0,2
142,2021-07-12 03:46:41 India Standard Time,ckunkzz,"Aku respect #ITA not just football, but also how they managed to recover from pandemic. Awal2 suffer kut gagal back in march 2020 tapi now top 10 negara yg recover dari covid ni. Respect!",en,0,1,0
144,2021-07-12 03:43:00 India Standard Time,rajeshd33675059,Italy needed this badly after last year's Covid disaster. Wembley was too hot to handle for English men. They cracked under pressure. Penalty is all about mental strength. Congrats Italian Stallions #Euro2020Final #Italy #wembleystadium #London #rome,en,0,2,4
163,2021-07-13 03:36:35 India Standard Time,dr_afzalhaqasif,"Consumption of coffee, vegetables, and being breastfed as a baby were favorably associated with incident COVID-19.  https://t.co/9NOlgf7YH7",en,0,0,0
166,2021-07-13 03:04:29 India Standard Time,daisyjuggalot,Here taking my covid test,en,0,0,1
171,2021-07-13 02:19:19 India Standard Time,aaronmikhail_,Same minister that came up with this gold 1) warm water cures covid 2) conference call with 500 countries,en,0,0,2
175,2021-07-13 01:32:10 India Standard Time,mindkrraft,"""The Rationing of a Last-Resort Covid Treatment""  https://t.co/xypNSS4sOT",en,0,0,0
176,2021-07-13 01:24:07 India Standard Time,nishantbhuse,#KanwarYatra is Covid over ?  Double standards   https://t.co/MEQrmyLobH,en,0,0,0
180,2021-07-13 01:18:06 India Standard Time,ishtiapil,"West Bengal reports 885 COVID-19 cases, 11 fatalities. Infection tally rises to 15,13,014, death toll 17,927. The state now has 14,531 active cases of the disease.",en,0,0,1
186,2021-07-13 00:54:31 India Standard Time,colonelsharotri,"@RaveenKr I  hve bn twting my requests to my state govt  not to allow tourists w/o required tests n enforce the Covid related protocols, strictly. But I too very strongly feel tht itvwas essentially a thoughtless decision n to open up state borders, in conditionally. Manali scene has  🙏",en,2,0,2
187,2021-07-13 00:51:13 India Standard Time,itsthelazychef,Huh ??? Covid outbreak in Unilag  ???  https://t.co/LbH5Xv3nM7,en,28,440,289
195,2021-07-15 04:48:39 India Standard Time,n9vx5k,"I'm at COVID-19 Vaccine Center in Dammam, Ash Sharqiyah w/ @_itsayat9  https://t.co/QvRH3slAY2",en,0,0,0
201,2021-07-15 02:25:19 India Standard Time,faisaljamil15,@waqas_amjaad I DNT want to share on social media but ur DC islamabad is really angel for so many poor patients during covid I am witness of it.provided full course of actemra to so many deserving patients which cost 90k for a patient,en,0,0,3
206,2021-07-15 01:45:03 India Standard Time,wajjikhan,Covid-19 is still spreading in Karachi apply precautions on this eid I request to all of my Pakistani people. #Coronaviruspakistan #KarachiRains #Pakistan,en,0,1,3
207,2021-07-15 01:39:56 India Standard Time,shubham28_,"@hankgreen Should've applied for a cheaper college, cause I've only been there for like 6 months in total.   The rest of it has just been the usual crap online education, ever since covid started.  I like how they're still charging for the stuff that haven't been providing us in like 2-",en,1,0,0
208,2021-07-15 01:39:08 India Standard Time,raunaquesaba,@stpiindia Covid demise Stpi family member waiting for compensation and benefits.,en,0,0,0
214,2021-07-15 00:47:05 India Standard Time,hninnuyeekyaw1,"Yangon: 100+ dead bodies from covid at cemetery today, lining up for cremation. Families are told to leave as group cremation must be done given too many to cremate. Junta killed these people by restricting oxygen aids. #WhatsHappeningInMyanmar #July14Coup  https://t.co/DEOLIgYBV0",en,0,1,1
216,2021-07-15 00:42:20 India Standard Time,mindkrraft,"So Where s #Congress"" And #Liberals  Now....Indonesia overtakes India to become Asia’s COVID hotspot""   https://t.co/B1RMwVDGoh",en,0,0,0
217,2021-07-15 00:41:39 India Standard Time,avineshw90,"This is why 'bubble within a bubble' is so important. Covid-19 has been an absolute menace and one that wouldn't be forgotten for a long time. One virus that has denied opportunities, unleashed a failed government and further divided the rich and poor. 😔",en,0,1,3
237,2021-07-16 04:22:05 India Standard Time,tariquekhanjave,Our farmers live a hellish lives. I came to its full realization during Covid Relief efforts last year.  It has changed my life.  Now I have devoted my life for their welfare.  Making small efforts as per my capacity.  I have largely shunned Media.   https://t.co/Q8lPxmxMUV,en,0,0,0
242,2021-07-16 03:09:39 India Standard Time,saptashwaa,"@himantabiswa  Dear Sir , Please look into the matter , Many passengers who have come from far away ,Those who are testing covid  are not testing at a fast pace in any good way, Maximum counter empty.Time was 2:30 AM ,Friday 16 July.  https://t.co/FfQFGB4VUA",en,0,0,0
244,2021-07-16 02:18:01 India Standard Time,lokesan8,A look at COVID-19 nightlife clusters in Asia   https://t.co/pwwvtccbGN,en,0,0,0
245,2021-07-16 02:04:46 India Standard Time,pc_pankajchauha,Canada refused indian covid-19 test for traveling.what we think about India image in world medical facilities.   Can we trust on Indian covid test accuracy?   @abplivenews #pandemic #CoronaVaccine  https://t.co/eg0Iz62iS5,en,0,0,0
248,2021-07-17 05:07:42 India Standard Time,yaswinsivanesan,@MahendranTarwin Selangor is in the process of creating new record for highest covid case deyh 😂That’s why government is preventing it 😂 #EverythingUnderControl,en,1,0,1
266,2021-07-17 02:04:29 India Standard Time,am1996x,Sometimes I wish I could unsee the things I’ve seen in Covid wards,en,0,2,1
267,2021-07-19 05:18:05 India Standard Time,hnubell,@n_truongphoto Happy birthday 🎂🎁🎉 Wish you good health. I wish you a lot of happiness. May you get through this covid situation. Take care of your health too. we will always be together,en,0,0,1
280,2021-07-19 03:56:27 India Standard Time,nomanibnhussain,May Allah end the COVID-19 &amp; give us ability to touch the wall of Kabbah. #Hajj1442  #HajjMubarak  #Hajj  https://t.co/6vNMYbO9eY,en,5,24,180
289,2021-07-19 01:32:37 India Standard Time,ganapathirao,@MailOnline What abt Covid restrictions!,en,1,0,0
294,2021-07-19 01:09:51 India Standard Time,temptempholder,Those curious critics who demand covid information presented in certain way is damn irritating..  Think singapore will be worse off?? Because they never see these forumer powerful analysis??!!  Damn self worshipper fuckers.  Pls lah... There is already ton of information now.,en,0,0,0
