tweet,clean_tweet,hastags,attherate,urls,emojis
Farmer protest #FarmersProtest #BJPMotto_KeepFarmersPoor #Delhi #COVID19 #liveline #FarmersProtest @aimim_national @ndtv @RahulGandhi @asadowaisi @msisodia @ravishndtv @CPHydCity  https://t.co/caFc1vtWrm,Farmer protest ,"['#FarmersProtest', '#BJPMotto_KeepFarmersPoor', '#Delhi', '#COVID19', '#liveline', '#FarmersProtest']","['@aimim_national', '@ndtv', '@RahulGandhi', '@asadowaisi', '@msisodia', '@ravishndtv', '@CPHydCity']",['https://t.co/caFc1vtWrm'],[]
"Switch focus to Covid-19 variants infecting vaccinated folk, MoH urged  https://t.co/IXOQepOMgU",Switch focus to Covid19 variants infecting vaccinated folk MoH urged ,[],[],['https://t.co/IXOQepOMgU'],[]
King of Malaysia has a very difficult decision to make in the choice of Prime Minister Does he choose the one backed by 112 or &gt;MPs❓ OR Does the King choose the one who can manage Covid-19 &amp; weakened economy❓ Who is more important ❓ Nation &amp; people or political figures❓🤔🤨  https://t.co/FABx5QmkZD,King of Malaysia has a very difficult decision to make in the choice of Prime Minister Does he choose the one backed by 112 or gtMPs OR Does the King choose the one who can manage Covid19 amp weakened economy Who is more important  Nation amp people or political figures ,[],[],['https://t.co/FABx5QmkZD'],"['❓', '❓', '❓', '❓', '🤔', '🤨']"
COVID - 19 is still dangerous stage. 159 people died last 24 hours in Bangladesh. It is a far reduced status. May Allah kind saving us from this  disease.,COVID  19 is still dangerous stage 159 people died last 24 hours in Bangladesh It is a far reduced status May Allah kind saving us from this disease,[],[],[],[]
"Me after a long day of doing nothing.  #workfromhome #insomniac #pkp #pkpd #covid_19 #lockdown #mentaldown #rockers #random #tgif   Credit : JAYY @ Kuala Lumpur, Malaysia  https://t.co/lZpg1cwNnA",Me after a long day of doing nothing Credit : JAYY @ Kuala Lumpur Malaysia ,"['#workfromhome', '#insomniac', '#pkp', '#pkpd', '#covid_19', '#lockdown', '#mentaldown', '#rockers', '#random', '#tgif']",['@'],['https://t.co/lZpg1cwNnA'],[]
"Despite of good relationship between BD &amp; India,ur GOVT pushed us very bad situation by stopping Onion export. And specifically stopped the supply of Covid-19 #AstraZeneca Vaccine in crucial time! Can you imagine what a shameful matter based on the relationship? Mr @SuvenduWB 2/3",Despite of good relationship between BD amp Indiaur GOVT pushed us very bad situation by stopping Onion export And specifically stopped the supply of Covid19 Vaccine in crucial time Can you imagine what a shameful matter based on the relationship Mr 2/3,['#AstraZeneca'],['@SuvenduWB'],[],[]
@ourvadodara @MyVadodara @PMOIndia @CollectorVad Today in Sandesh newspaper I saw 2 ml covid19 bottles are fake nd since I got 2nd vaccine it was same 2ml where Siram company don't produce now I'm confused about what to do with it 😠, Today in Sandesh newspaper I saw 2 ml covid19 bottles are fake nd since I got 2nd vaccine it was same 2ml where Siram company dont produce now Im confused about what to do with it ,[],"['@ourvadodara', '@MyVadodara', '@PMOIndia', '@CollectorVad']",[],['😠']
"PNR 6654379522, TRAIN NO. 05955, CLASS 2A, VERY VERY DIRTY COMPARTMENT WITH WORST TOILET, IN THIS COVID19 SITUATION, WHATS OUR RAILWAY DOING ? SPREADING COVID MAYBE !!!  #IndianRailways #ModiGovt  https://t.co/BUTcfTHwye",PNR 6654379522 TRAIN NO 05955 CLASS 2A VERY VERY DIRTY COMPARTMENT WITH WORST TOILET IN THIS COVID19 SITUATION WHATS OUR RAILWAY DOING  SPREADING COVID MAYBE  ,"['#IndianRailways', '#ModiGovt']",[],['https://t.co/BUTcfTHwye'],[]
"Atleast 18 opposition parties were scheduled to meet virtually on Friday to strategise on reaching out to the people on issues such as the economic slowdown, the alleged mismanagement of the Covid-19 pandemic, the Pegasus spyware controversy, and the farmers’ protest.  https://t.co/p3cocq0Vtd",Atleast 18 opposition parties were scheduled to meet virtually on Friday to strategise on reaching out to the people on issues such as the economic slowdown the alleged mismanagement of the Covid19 pandemic the Pegasus spyware controversy and the farmers’ protest ,[],[],['https://t.co/p3cocq0Vtd'],[]
"As the world waits for a vaccine💉 to defeat the COVID-19 pandemic, We look back to all that vaccines have achieved for humanity.  https://t.co/4P1wXGhfLa",As the world waits for a vaccine to defeat the COVID19 pandemic We look back to all that vaccines have achieved for humanity ,[],[],['https://t.co/4P1wXGhfLa'],['💉']
Please cancel the Jharkand ITI CBT exam because COVID 19,Please cancel the Jharkand ITI CBT exam because COVID 19,[],[],[],[]
✳️ COVID-19 : Case Updates  https://t.co/NVdABg4DFB, COVID19 : Case Updates ,[],[],['https://t.co/NVdABg4DFB'],['✳️']
