,created_at,username,tweet,language,replies_count,retweets_count,likes_count
180,2021-08-13 19:51:38 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/xFogpik1V8,en,0,0,0
182,2021-08-13 19:04:28 India Standard Time,ashishk59382871,"#EkGaonEkTiranga  ..There has been a sudden break in the running life due to the lockdown.  The fear of coronavirus has started affecting the mental health of the people, from this uncertainty only one can get rid of the Satnaam as given by Purna Sant Rampal Ji Maharaj Ji.  https://t.co/15lFPKJ6VQ",en,0,4,7
183,2021-08-13 19:03:44 India Standard Time,trikutanews,"13 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 129 new positive cases, 317471 recovered so far  https://t.co/ykUF5CrRbV",en,0,1,0
184,2021-08-15 02:29:08 India Standard Time,m_mgolparvar,China 🈹️㊗️with the corona virus that made Khamenei with his order They massacred the Iranian people  #CoronavirusPandemic  #coronavirus  End .......,en,1,0,1
187,2021-08-15 00:19:50 India Standard Time,a_warishameed,Criminal act by the Lahore administration to allow such a huge gathering at liberty last night. All SOPs are for educational institutions i guess.   #coronavirus #DeltaVariante #imrankhanPTI #IndependenceDay,en,0,0,2
188,2021-08-14 23:40:46 India Standard Time,irajashekaran,"2021 Aug 15th on the Eve of the 75th Independence Day,Advocate C.Rajashekaran demands Freedom for every Indian Citizen from Economic Yolk &amp; Burden imposed by #coronavirus &amp; #CovidPandemic Situation.India Needs Economic Independence from all Types of Toll’s,Taxes &amp; Debt’s imposed!",en,0,1,2
189,2021-08-14 23:06:26 India Standard Time,7krsaurabh,Covid 19 2nd jab completed 💉. #COVAXIN  #coronavirus  https://t.co/Z1eOVx0Fte,en,0,2,6
190,2021-08-14 22:48:06 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/cDezgyoimS,en,0,0,0
191,2021-08-14 22:45:42 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/B3AyUkp26A,en,0,0,0
195,2021-08-14 22:44:15 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/uasY6CdgGB,en,0,0,0
197,2021-08-14 20:17:04 India Standard Time,menakaw9,Media Release – 2021.08.14 Covid death figures reported today 14.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/dABV8I1ZgN,en,0,2,2
198,2021-08-14 19:47:42 India Standard Time,trikutanews,"14 August 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 135 new positive cases, 317627 recovered so far  https://t.co/1OtWJagNbh",en,0,1,0
199,2021-08-14 17:58:59 India Standard Time,srilankatweet,So far today 2423 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,3,17,73
200,2021-08-14 17:54:00 India Standard Time,yemeniradar,"“In #Yemen north, #Houthis face coronavirus with outright denial  At one cemetery in Jarraf, one digger estimated that over 30 people were buried every day in the past two months, many of them women and elderly” said by @RandaHabib   @UN @PMaurerICRC @hrw   https://t.co/uCJwSIqCWR  https://t.co/mbonH7WrOd",en,1,4,4
203,2021-08-14 14:54:50 India Standard Time,hudhudtimes,"Only those who are fully vaccinated against coronavirus or have a negative RT-PCR test report will be allowed to enter Punjab from Monday, Chief Minister Amarinder Singh said today. People coming from neighbouring Himachal Pradesh and Jammu will be strictly monitored.  https://t.co/02hUnJwDm8",en,0,0,1
204,2021-08-15 23:22:17 India Standard Time,srilankatweet,Dispose your face mask properly in a closed bin. Don't throw 🙏 Masks 😷 that helped save lives during the coronavirus pandemic are proving a deadly hazard for wildlife. @AFP #COVID19 #COVIDIOTS #coronavirus   https://t.co/igBL7P3wHT,en,7,214,373
205,2021-08-15 23:16:27 India Standard Time,salahud61599935,@michelleargent I want to get some help from you. I am in a lot of danger because of this coronavirus,en,0,0,0
