,created_at,username,tweet,language,replies_count,retweets_count,likes_count
201,2021-07-10 19:11:52 India Standard Time,ashirva42260858,"When will our school open? We are missing our school. Having done a lot of online studies, now I have to study in school, comment how many people are missing the school day and retweet this post so that the school opens as soon as possible. #school #coronavirus #schoolfights  https://t.co/csla3PGlxC",en,0,0,2
202,2021-07-10 18:42:34 India Standard Time,manjumathur1,@vikramchandra Expect a new 'FOOTBALL VARIANT' of  #Corona Virus  originating at #Wembley  . What else,en,0,0,0
203,2021-07-10 18:16:12 India Standard Time,saifhasnat,"Bangladesh police had arrested more than 600 for violating lockdown yesterday. And locked most of them in few crowded rooms. One, who was arrested, asked a question: ""Wasn't coronavirus there in those crowded rooms? I was alone in the road, and they dragged me there."" #Covid19",en,2,1,17
204,2021-07-10 17:43:34 India Standard Time,sumaya24601,I'm at Mass Testing Center - Coronavirus in Riyadh  https://t.co/E6j3Ni4JDV,en,0,0,0
205,2021-07-10 17:42:11 India Standard Time,humansofhyd,"""Yes, I agree that there's a risk but if I don't take the risk, my family and I will die of starvation.""  Full Story &gt;&gt;  https://t.co/9nkHavgOsz  #COVID19 #Autodrivers #Survival #SupportSmallBusiness #Impact #coronavirus #journey #motivation #positivity #hope #HumansofHyderabad  https://t.co/XCnRuhwVH1",en,0,1,3
206,2021-07-10 17:38:25 India Standard Time,jayanta13998620,WHO chief scientist warns coronavirus pandemic is not over. Lists main reasons  https://t.co/RDOvmpz3OK,en,0,0,0
208,2021-07-10 17:28:22 India Standard Time,suhas02010,@ACMAIndia @DrMNPandeyMP @KPGBJP @VinMehta  Looking forward to their leadership in overcoming Post Coronavirus pandemic challenges &amp; working towards better prospects for growth &amp; development of the Indian Automotive Industry !! Special thrust is required for development of EV vehicles &amp; EV infrastructure !!,en,0,0,0
210,2021-07-10 16:33:30 India Standard Time,singhswaiman,Don’t use religion to push ur agenda #COVID19 #india #coronavirus #india  https://t.co/kcNqyPA9WY,en,6,68,243
211,2021-07-10 16:33:11 India Standard Time,ballistic_bade,@abccare 16th June Nibha Thakur tested Positive for the Novel CoronaVirus. 16th June HRCT done please with score 12 17th June Blood tests done 17th June evening Medications started after consulting Dr. Bhanwar.  20th June felt discomfort at breathing. 20th June evening HRCT done again,en,0,0,0
212,2021-07-10 16:32:27 India Standard Time,soundirarajanr,Coronavirus marriage home marriage small group marriage and low budget cost marriage  https://t.co/oRxW8IC3tk,en,0,0,0
213,2021-07-10 16:32:27 India Standard Time,ballistic_bade,"@abccare Thankyou very much for the prompt reply let me help you with some facts of the case.  hospitalised from 21st June 2021 to 25th June 2021 in Riddhi Vinayak Multi Specialty Hospital at Nallasopara West, against the Novel CoronaVirus.",en,0,0,0
214,2021-07-10 16:31:59 India Standard Time,soundirarajanr,Coronavirus  My home marriage every day fight please my WhatsApp tell me  https://t.co/SzPlJ8tRRE,en,0,0,0
215,2021-07-10 15:30:17 India Standard Time,safikhanmagical,@audreyt Just got my first doze of #COVID19 hopefully we will defeat #coronavirus #CovidIsNotOver InshahAllah global be motivated to secure ur friends&amp;beloved ones My message from #Pakistan to guide students #community be #vaccinated #vaccination #PakistanZindabad  https://t.co/HFU44QhH6v,en,0,0,1
216,2021-07-10 15:23:27 India Standard Time,pest_unique,Our goal is to do our part in limiting the spread of coronavirus by offering disinfecting services for commercial properties.   For more details :  https://t.co/YcwELuSIY6  #pestcontrolchennai #nomorebuggin #virusdisinfestationservices #pestservicesinchennai  https://t.co/eQ5Ubu9cRP,en,0,0,0
217,2021-07-10 15:00:53 India Standard Time,safikhanmagical,"Just got my first doze of #COVID19 #CoronaVacSinoVac hopefully we will defeat #coronavirus #CovidIsNotOver InshahAllah global be motivated to secure ur family,friends&amp;beloved ones My message from #Pakistan to guide students #community be #vaccinated #vaccination #PakistanZindabad  https://t.co/HFU44QhH6v",en,0,0,0
218,2021-07-10 14:20:17 India Standard Time,vietnewsgateway,"Ho Chi Minh City shutters 21,000-staff company over new coronavirus infections  https://t.co/fvTVEydMD1",en,1,1,9
219,2021-07-10 14:13:53 India Standard Time,omegaincyber,Has anyone made a coronavirus virus nursery rhyme yet?,en,1,0,1
221,2021-07-10 13:28:27 India Standard Time,keseaanahuaaa,Someone will tell that if i make a program then it will contain corona virus or anything else 😂😂🤣 #programmer #virus @PR0GRAMMERHUM0R  @Hakertow,en,0,0,2
223,2021-07-10 13:16:21 India Standard Time,keseaanahuaaa,@notmusafir Yes bro and I'm virus not corona virus....,en,0,0,0
224,2021-07-10 13:11:15 India Standard Time,kazimtweets,"No matter how many #coronavirus variants are found in #UttarPradesh , they can never compete with the deadliest variant of any virus in the state, viz. of commumalism &amp; #Islamophobia. It has taken over each and every institution right from top to bottom.   https://t.co/4vaexu3F9G",en,0,0,1
225,2021-07-10 12:55:31 India Standard Time,adnankiani,Coronavirus positivity rate nearing 4% in Pakistan.  #WakeupNCOC #NCOC  #CoronaVirusUpdates  #DeltaPlusVariant,en,0,1,0
230,2021-07-10 11:45:59 India Standard Time,keovatana,"Fighting Coronavirus with High Coronavirus Discharge (Cut off) Infection Technology!   Want to know more detail, click here:  https://t.co/F6GmVKqlg2  https://t.co/azJikiT3St",en,0,0,1
232,2021-07-10 11:16:31 India Standard Time,aligarhfob,Corona virus updates  https://t.co/8iNeSylt0E,en,0,0,0
233,2021-07-10 10:59:44 India Standard Time,jasghar,Coronavirus: a fourth wave  We are going through a vulnerable phase and our fourth wave has probably started. We could still reverse the course by accepting that Pakistan is still in danger.   https://t.co/2CHMqTOOW5,en,0,2,6
234,2021-07-10 10:52:56 India Standard Time,aligarhfob,Corona virus updates  https://t.co/gDw3DAn2xc,en,0,0,0
235,2021-07-10 10:25:04 India Standard Time,pathitta1978,"From April 10, 2021.. Until July 10, 2021.. It has been 3 months now, since I closed the bar that because the problem of the spreading of the Corona virus again.  #Covid19 #SaveKanchanaburiAndThailand  #PrayForKanchanaburiAndThailand  #MonkeyBarKanchanaburi  https://t.co/kGxCq25nGA",en,2,0,1
236,2021-07-10 09:52:28 India Standard Time,jehlamtimes,"India clocks 42,766 single-day Covid cases  NEW DELHI: India recorded 42,766 number of coronavirus (Covid-19) cases on Saturday, pushing the total tally of cases to 3,07,95,716. In the previous 24 hours 1,206 number of deaths were also reported.  https://t.co/PInX75X3uT",en,0,0,0
238,2021-07-10 08:06:53 India Standard Time,lochsovanaret,"Land prices in Japan fell 0.5% on average in 2021 from a year before, down for the first time in six years due to loss in demand by foreign visitors amid the coronavirus pandemic, government data showed Thursday.",en,0,0,0
239,2021-07-10 07:25:46 India Standard Time,gaurang9007,"Coronavirus has shown us that people can be trusted to get their work done, wherever they are. 👨‍💻🏡  #remoteworking #workfromhome #COVID19",en,0,0,3
